Epoch: 6/60 Setp: 900, ranking_loss: 7.20, id_loss: 9.78
Epoch: 6/60 Setp: 950, ranking_loss: 5.65, id_loss: 8.78
Epoch: 6/60 Setp: 1000, ranking_loss: 5.73, id_loss: 9.12
Epoch: 6/60 Setp: 1050, ranking_loss: 7.06, id_loss: 9.65
Epoch: 6/60 , ranking_loss: 6.76, id_loss: 8.99
lr:0.001
lr:0.0001
Epoch: 7/60 Setp: 50, ranking_loss: 4.62, id_loss: 6.10
Epoch: 7/60 Setp: 100, ranking_loss: 4.58, id_loss: 6.00
Epoch: 7/60 Setp: 150, ranking_loss: 4.35, id_loss: 5.17
Epoch: 7/60 Setp: 200, ranking_loss: 4.05, id_loss: 6.31
Epoch: 7/60 Setp: 250, ranking_loss: 7.96, id_loss: 7.44
Epoch: 7/60 Setp: 300, ranking_loss: 5.11, id_loss: 6.67
Epoch: 7/60 Setp: 350, ranking_loss: 6.19, id_loss: 6.31
Epoch: 7/60 Setp: 400, ranking_loss: 6.29, id_loss: 7.84
Epoch: 7/60 Setp: 450, ranking_loss: 6.34, id_loss: 7.41
Epoch: 7/60 Setp: 500, ranking_loss: 5.66, id_loss: 7.27
Epoch: 7/60 Setp: 550, ranking_loss: 6.13, id_loss: 7.16
Epoch: 7/60 Setp: 600, ranking_loss: 5.89, id_loss: 7.15
Epoch: 7/60 Setp: 650, ranking_loss: 5.05, id_loss: 8.47
Epoch: 7/60 Setp: 700, ranking_loss: 6.55, id_loss: 9.01
Epoch: 7/60 Setp: 750, ranking_loss: 7.13, id_loss: 8.65
Epoch: 7/60 Setp: 800, ranking_loss: 4.75, id_loss: 9.53
Epoch: 7/60 Setp: 850, ranking_loss: 7.20, id_loss: 9.38
Epoch: 7/60 Setp: 900, ranking_loss: 6.12, id_loss: 8.16
Epoch: 7/60 Setp: 950, ranking_loss: 6.31, id_loss: 9.35
Epoch: 7/60 Setp: 1000, ranking_loss: 5.61, id_loss: 9.22
Epoch: 7/60 Setp: 1050, ranking_loss: 6.88, id_loss: 6.96
Epoch: 7/60 , ranking_loss: 6.10, id_loss: 7.75
lr:0.001
lr:0.0001
Epoch: 8/60 Setp: 50, ranking_loss: 5.04, id_loss: 5.79
Epoch: 8/60 Setp: 100, ranking_loss: 6.82, id_loss: 5.82
Epoch: 8/60 Setp: 150, ranking_loss: 4.31, id_loss: 6.60
Epoch: 8/60 Setp: 200, ranking_loss: 7.45, id_loss: 6.57
Epoch: 8/60 Setp: 250, ranking_loss: 6.28, id_loss: 6.04
Epoch: 8/60 Setp: 300, ranking_loss: 4.35, id_loss: 6.61
Epoch: 8/60 Setp: 350, ranking_loss: 4.03, id_loss: 6.53
Epoch: 8/60 Setp: 400, ranking_loss: 4.62, id_loss: 5.98
Epoch: 8/60 Setp: 450, ranking_loss: 6.10, id_loss: 5.65
Epoch: 8/60 Setp: 500, ranking_loss: 4.90, id_loss: 7.52
Epoch: 8/60 Setp: 550, ranking_loss: 3.95, id_loss: 7.07
Epoch: 8/60 Setp: 600, ranking_loss: 5.62, id_loss: 6.41
Epoch: 8/60 Setp: 650, ranking_loss: 6.68, id_loss: 6.60
Epoch: 8/60 Setp: 700, ranking_loss: 4.86, id_loss: 7.47
Epoch: 8/60 Setp: 750, ranking_loss: 6.43, id_loss: 7.71
Epoch: 8/60 Setp: 800, ranking_loss: 6.07, id_loss: 7.85
Epoch: 8/60 Setp: 850, ranking_loss: 6.86, id_loss: 7.48
Epoch: 8/60 Setp: 900, ranking_loss: 7.12, id_loss: 7.89
Epoch: 8/60 Setp: 950, ranking_loss: 6.69, id_loss: 9.81
Epoch: 8/60 Setp: 1000, ranking_loss: 7.84, id_loss: 8.27
Epoch: 8/60 Setp: 1050, ranking_loss: 6.21, id_loss: 7.61
Epoch: 8/60 , ranking_loss: 5.59, id_loss: 6.76
lr:0.001
lr:0.0001
Epoch: 9/60 Setp: 50, ranking_loss: 5.76, id_loss: 5.48
Epoch: 9/60 Setp: 100, ranking_loss: 5.30, id_loss: 5.08
Epoch: 9/60 Setp: 150, ranking_loss: 2.61, id_loss: 4.73
Epoch: 9/60 Setp: 200, ranking_loss: 3.86, id_loss: 5.41
Epoch: 9/60 Setp: 250, ranking_loss: 3.25, id_loss: 4.76
Epoch: 9/60 Setp: 300, ranking_loss: 5.42, id_loss: 6.26
